ISCO08,Description,Definitions,Tasks include,Subgroups
265,Creative and performing artists,"Creative and performing artists communicate ideas, impressions and facts in a wide range of media to achieve particular effects; interpret a composition such as a musical score or a script to perform or direct the performance; and host the presentation of such performance and other media events.","Tasks performed usually include: conceiving and creating visual art forms; conceiving and writing original music; devising, directing, rehearsing and performing in music, dance, theatrical and film productions; assuming creative, financial and organizational responsibilities in the production of television programmes, films, and stage presentations; studying script, play or book and preparing and rehearsing interpretation; selecting and introducing music, videos and other entertainment material for broadcast and making commercial and public service announcements.","Occupations in this minor group are classified into the following unit groups: 2651 Visual Artists 2652 Musicians, Singers and Composers 2653 Dancers and Choreographers 2654 Film, Stage and Related Directors and Producers 2655 Actors 2656 Announcers on Radio, Television and Other Media 2659 Creative and Performing Artists Not Elsewhere Classified"
311,Physical and engineering science technicians,"Physical and engineering science technicians perform technical tasks to aid in research on and the practical application of concepts, principles and operational methods particular to physical sciences including such areas as engineering, technical drawing or economic efficiency of production processes.","Tasks performed usually include: undertaking and carrying out technical work related to chemistry, physics, geology, meteorology, astronomy, engineering or technical drawing; setting up, operating, and maintaining laboratory instruments and equipment; monitoring experiments, making observations, and calculating and recording results; preparing materials for experimentation; conducting tests of systems; collecting and testing samples; recording observations and analysing data; preparing, revising and interpreting technical drawings, wiring diagrams, circuit board assembly diagrams or layout drawings.",Occupations in this minor group are classified into the following unit groups: 3111 Chemical and Physical Science Technicians 3112 Civil Engineering Technicians 3113 Electrical Engineering Technicians 3114 Electronics Engineering Technicians 3115 Mechanical Engineering Technicians 3116 Chemical Engineering Technicians 3117 Mining and Metallurgical Technicians 3118 Draughtspersons 3119 Physical and Engineering Science Technicians Not Elsewhere Classified
312,"Mining, manufacturing and construction supervisors","Mining, manufacturing and construction supervisors coordinate, supervise, control and schedule the activities of workers in manufacturing, mining and construction operations.","Tasks performed usually include: overseeing, supervising and co-ordinating the activities of tradespersons, process control technicians, machine operators, assemblers, labourers and other workers; organizing and planning daily work; preparing cost estimates, records and reports; identifying shortages of staff or supplies; ensuring safety of workers; instructing and training new staff.",Occupations in this minor group are classified into the following unit groups: 3121 Mining supervisors 3122 Manufacturing supervisors 3123 Construction supervisors
313,Process control technicians,"Process control technicians operate and monitor switchboards, computerized control systems, multi-function process control machinery and maintain processing units in electrical power generation and distribution, wastewater, sewage treatment and waste disposal plants, chemical, petroleum and natural gas refineries, in metal processing and other multiple process operations.","Tasks performed usually include: operating electronic or computerized control panel from a central control room to monitor and optimize processes; controlling process start-up and shut-down; operating and monitoring switchboards and related equipment; monitoring and inspecting equipment and systems to detect malfunctions; taking readings from charts, meters and gauges at established intervals; troubleshooting and take corrective action as necessary; maintaining records, logs and reports; communicating with other personnel to assess equipment operating status; cleaning and maintaining equipment; supervising plant and machine operators, assemblers and other workers.",Occupations in this minor group are classified into the following unit groups: 3131 Power production plant operators 3132 Incinerator and water treatment plant operators 3133 Chemical processing plant controllers 3134 Petroleum and natural gas refining plant operators 3135 Metal production process controllers 3139 Process control technicians not elsewhere classified
314,Life science technicians and related associate professionals,"Life science technicians and related associate professionals perform a variety of technical tasks to support life science professionals with their research, development, management, conservation and protection work, in areas such as biology, botany, zoology, biotechnology and biochemistry, and to agriculture, fisheries and forestry.","Tasks performed usually include: conducting tests, experiments, laboratory analyses, field research and surveys to collect information using accepted scientific methods; keeping records; assisting in analyzing data and preparing reports; operating and maintaining equipment.",Occupations in this minor group are classified into the following unit groups: 3141 Life Science Technicians (excluding Medical) 3142 Agricultural Technicians 3143 Forestry Technicians
315,Ship and aircraft controllers and technicians,"Ship and aircraft controllers and technicians command and navigate ships and aircraft; perform technical functions to ensure safe and efficient movement and operations; and develop electrical, electromechanical and computerized air control systems.","Tasks performed usually include: controlling the operation of mechanical, electrical and electronic equipment on board ship or on aircraft; commanding and navigating ships or aircraft, directing the movements of ships or aircraft; developing electrical, electromechanical and computerized air control systems.",Occupations in this minor group are classified into the following unit groups: 3151 Ships? Engineers 3152 Ships? Deck Officers and Pilots 3153 Aircraft Pilots and Related Associate Professionals 3154 Air Traffic Controllers 3155 Air Traffic Safety Electronics Technicians
321,Medical and pharmaceutical technicians,"Medical and pharmaceutical technicians perform technical tasks to assist in diagnosis and treatment of illness, disease, injuries and impairments.","Tasks performed usually include: testing and operating radiographic, ultrasound and other medical imaging equipment; administering radiopharmaceuticals or radiation to patients to detect or treat diseases; performing clinical tests on specimens of bodily fluids and tissues; preparing medications and other pharmaceutical compounds under the guidance of pharmacists; designing, fitting, servicing and repairing medical and dental devices and appliances.",Occupations in this minor group are classified into the following unit groups: 3211 Medical Imaging and Therapeutic Equipment Technicians 3212 Medical and Pathology Laboratory Technicians 3213 Pharmaceutical Technicians and Assistants 3214 Medical and Dental Prosthetic Technicians
322,Nursing and midwifery associate professionals,"Nursing and midwifery associate professionals provide basic nursing and personal care for people who are physically or mentally ill, disabled or infirm, and others in need of care due to potential risks to health including before, during and after childbirth. They generally work under the supervision of, and in support of implementation of health care, treatment and referrals plans established by, medical, nursing, midwifery and other health professionals.","Tasks performed usually include: providing nursing and personal care, treatment and advice to patients according to care plans as established by health professionals; assisting professional nurses, midwives and medical doctors in administering medication and treatments; cleaning wounds and applying surgical dressings; providing advice to individuals, families and communities on topics related to health, contraception, pregnancy and childbirth; assessing progress during pregnancy and childbirth, providing or assisting in delivery care and recognizing signs and symptoms requiring referral to a health professional; providing care and support to women and newborns following childbirth.",Occupations in this minor group are classified into the following unit groups: 3221 Nursing associate professionals 3222 Midwifery associate professionals
323,Traditional and complementary medicine associate professionals,"Traditional and complementary medicine associate professionals prevent, care for and treat human physical and mental illnesses, disorders and injuries using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures. They administer treatments using traditional techniques and medicaments, either acting independently or according to therapeutic care plans established by a traditional medicine or other health professional.","Tasks performed usually include: examining patients and interviewing them and their families to determine their health status and the nature of physical or mental disorders or illnesses or other ailments; recommending and providing care and treatment for illnesses and other ailments using traditional techniques and medicaments, such as physical manipulation and exercises, blood-letting using natural vessels, and preparations using herbs, plants, insects and animal extracts; administering treatments such as acupuncture, ayurvedic, homeopathic and herbal medicine as per therapeutic care plans and procedures usually developed by a traditional medicine or other health professional; providing care and treatment for physical injuries such as setting and healing fractured and dislocated bones using traditional methods of physical manipulation and herbal therapies; advising individuals, families and the community on health, nutrition, hygiene, lifestyle and other issues to maintain or improve health and well-being; referring patients to, and exchanging information with, other health care providers to ensure comprehensive and continuing care.",Occupations in this minor group are classified into the following unit group: 3230 Traditional and Complementary Medicine Associate Professionals
324,Veterinary technicians and assistants,"Veterinary technicians and assistants carry out advisory, diagnostic, preventive and curative veterinary tasks, more limited in scope and complexity than those carried out by veterinarians. They care for animals under treatment and in temporary residence at veterinary facilities and assist veterinarians to perform procedures and operations.","Tasks performed usually include: advising communities and individuals on the treatment of animals and their diseases and injuries; conducting examinations of animals to make diagnoses or refer more difficult cases to veterinarians when needed; treating ill or injured animals, especially for common diseases and disorders; cleaning and sterilizing examination tables and instruments and preparing materials used in the examination and treatment of animals; carrying out technical tasks connected with artificial insemination of animals; getting animals ready for examination or treatment and restraining or holding them during treatment; assisting veterinarians to administer anaesthetics and oxygen during treatment; placing animals in cages for recovery from operations and monitoring their condition.",Occupations in this minor group are classified into the following unit group: 3240 Veterinary Technicians and Assistants
325,Other health associate professionals,"Other health associate professionals perform technical tasks and provide support services in dentistry, medical records administration, community health, the correction of reduced visual acuity, physiotherapy, environmental health, emergency medical treatment and other activities to support and promote human health.","Tasks performed usually include: providing basic care services for the prevention and treatment of diseases and disorders of the teeth and mouth; advising communities and individuals on hygiene, diet and other preventive measures to reduce potential risks to health; compiling and maintaining patients? medical records to document condition and treatment and to provide data for research, billing, cost control and care improvement; assisting families to develop the necessary skills and resources to improve their health status; providing advice and education on sanitation and hygiene to limit the spread of infectious diseases; fitting and dispensing optical lenses; investigate the implementation of rules and regulations relating to environmental and occupational factors that may potentially affect human health; massaging the soft tissues of the body; showing patients to examination rooms and preparing them for examination; attending and responding to accidents and emergencies and to requests for medical assistance.",Occupations in this minor group are classified into the following unit groups: 3251 Dental Assistants and Therapists 3252 Medical Records and Health Information Technicians 3253 Community Health Workers 3254 Dispensing Opticians 3255 Physiotherapy Technicians and Assistants 3256 Medical Assistants 3257 Environmental and Occupational Health Inspectors and Associates 3258 Ambulance Workers 3259 Health Associate Professionals Not Elsewhere Classified
331,Financial and mathematical associate professionals,"Financial and mathematical associate professionals place a value on various items and property, maintain records of financial transactions, analyse loan application information and render a decision, buy and sell financial instruments, and perform mathematical and related calculations.","Tasks performed usually include: recording and transmitting buy and sell orders for securities, stocks, bonds or other financial instruments and for foreign exchange for future or immediate delivery; submitting credit and loan applications to management with recommendations for approval or rejection; or approve or reject applications within authorized limits ensuring that credit standards of the institution are respected; maintaining complete records of all financial transactions of an undertaking according to general bookkeeping principles, with guidance from accountants; assisting in planning and performing mathematical, statistical, actuarial, accounting and related calculations.","Occupations in this minor group are classified into the following unit groups: 3311 Securities and Finance Dealers and Brokers 3312 Credit and Loans Officers 3313 Accounting Associate Professionals 3314 Statistical, Mathematical and Related Associate Professionals 3315 Valuers and Loss Assessors"
332,Sales and purchasing agents and brokers,"Sales and purchasing agents and brokers represent companies, governments and other organizations to buy and sell commodities, goods, insurance, shipping and other services to industrial, professional, commercial or other establishments, or act as independent agents to bring together buyers and sellers of commodities and services.","Tasks performed usually include: obtaining information about employers? and competitors? goods and services; monitoring and analysing market trends and conditions; obtaining information about clients? needs and identifying suitable products and services; explaining and demonstrating products and services to clients; negotiating prices, contracts, terms, conditions and shipping arrangements for purchase or sale of goods, services or commodities.",Occupations in this minor group are classified into the following unit groups: 3321 Insurance Representatives 3322 Commercial Sales Representatives 3323 Buyers 3324 Trade Brokers
333,Business services agents,"Business service agents establish contacts to sell various business services such as advertising space in the media; carry out customs clearance activities ensuring that necessary documents are in order; match jobseekers with vacancies; find workers for employers; arrange contracts for the performance of athletes, entertainers and artists, as well as for the publication of books, the production of plays, or the recording, performance and sale of music; and plan and organize conferences and similar events.","Tasks performed usually include: carrying out customs clearing procedures for exports or imports; arranging and coordinating conference and event services, such as conference facilities, catering, signage, displays, audiovisual and computer equipment, accommodation, transport and social events, for participants; matching jobseekers with vacancies; finding workers for vacant posts for employers; showing real estate properties to be sold or leased to prospective buyers or tenants and explaining terms of sale or conditions of rent or lease; selling by auction various kinds of property, cars, commodities, livestock, art, jewellery and other objects; arranging contracts for performers and performances.",Occupations in this minor group are classified into the following unit groups: 3331 Clearing and Forwarding Agents 3332 Conference and Event Planners 3333 Employment Agents and Contractors 3334 Real Estate Agents and Property Managers 3339 Business Services Agents Not Elsewhere Classified
334,Administrative and specialized secretaries,"Administrative and specialized secretaries provide organizational, communication and documentation support services, utilizing specialized knowledge of the business activity of the organization in which they are employed. They take supervisory responsibility for office clerks in the organization.","Tasks performed usually include: coordinating, assigning and reviewing the work of clerical support workers; desktop publishing; preparing and processing legal documents and papers such as deeds, wills, affidavits and briefs; implementing and supporting the communication, documentation and internal managerial co-ordination activities of an organizational unit, on some occasions utilizing specialized knowledge of the business activity of the organization; scheduling and confirming meetings and appointments and communicating messages for clients; compiling, recording and reviewing legal and medical records, reports, documents and correspondence.",Occupations in this minor group are classified into the following unit groups: 3341 Office Supervisors 3342 Legal Secretaries 3343 Administrative and Executive Secretaries 3344 Medical Secretaries
335,Regulatory government associate professionals,"Government regulatory associate professionals administer, enforce or apply relevant government rules and regulations relating to national borders, taxes and social benefits; investigate facts and circumstances relating to crimes; and issue or examine applications for licences or authorizations in connection with travel, exports and imports of goods, establishment of businesses, erection of buildings and other activities subject to government regulations.","Tasks performed usually include: patrolling national borders and checking persons and vehicles, travel and transport documents and goods transported across the border to ensure enforcement of government rules and regulations; examining tax returns to determine taxes payable by persons and businesses; examining and deciding on applications for social benefits; examining and deciding on applications for government authorizations and licences necessary to travel, export or import goods, erect buildings, establish businesses or undertake other activities subject to government regulations; monitoring the application of price, wage or weights and measures regulations; obtaining and verifying evidence, interviewing witnesses and suspects and analysing documents and computer files. They may receive guidance from senior government officials or managers. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 3351 Customs and Border Inspectors 3352 Government Tax and Excise Officials 3353 Government Social Benefits Officials 3354 Government Licensing Officials 3355 Police Inspectors and Detectives 3359 Government Regulatory Associate Professionals Not Elsewhere Classified
341,"Legal, social and religious associate professionals","Legal, social and religious associate professionals provide technical and practical services and support functions in legal processes and investigations, social and community assistance programmes and religious activities.","Tasks performed usually include: assisting and supporting legal, social work and religious professionals; obtaining and analysing evidence, preparing legal documents and serving court orders; administering and implementing social assistance programmes and community services; assisting clients to deal with personal and social problems; providing practical assistance, guidance and moral support to individuals and communities.",Occupations in this minor group are classified into the following unit groups: 3411 Legal and Related Associate Professionals 3412 Social Work Associate Professionals 3413 Religious Associate Professionals
342,Sports and fitness workers,"Sports and fitness workers prepare for and compete in sporting events for financial gain, train amateur and professional sportsmen and women to enhance performance; promote participation and standards in sport; organize and officiate sporting events; and provide instruction, training and supervision for various forms of exercise and other recreational activities.","Tasks performed usually include: participating in competitive sporting events; conducting sports training to develop ability in and knowledge of the sport; compiling rules concerning the conduct of sporting competitions, and controlling the progress of these events; planning, organizing and conducting practice sessions; developing and designing fitness programmes; delivering group exercise classes and personal tuition in a variety of fitness activities; promoting sports and sports skills development; and overseeing the participation of young people in sport.","Occupations in this minor group are classified into the following unit groups: 3421 Athletes and Sports Players 3422 Sports coaches, Instructors and Officials 3423 Fitness and Recreation Instructors and Programme Leaders"
343,"Artistic, cultural and culinary associate professionals","Artistic, cultural and culinary associate professionals combine creative skills and technical and cultural knowledge in taking and processing still photographs; design and decoration of theatre sets, shop displays and the interiors of homes; preparation of objects for display; maintenance of library and gallery collections, records and cataloguing systems; creation of menus and preparation and presentation of food; provision of support for stage, film and television production; and in other areas of artistic and cultural endeavour.","Tasks performed usually include: operating still cameras to photograph people, events, scenes, materials, products and other subjects; applying artistic techniques to product design, interior decoration and sales promotion; mounting and preparing objects for display; designing and arranging exhibit furnishings, display cases and display areas; designing menus and overseeing the preparation of food; assisting directors and performers with the staging of theatrical, motion picture, television or commercial productions.","Occupations in this minor group are classified into the following unit groups: 3431 Photographers 3432 Interior Designers and Decorators 3433 Gallery, Museum and Library Technicians 3434 Chefs 3435 Other Artistic and Cultural Associate Professionals"
351,Information and communications technology operations and user support technicians,"Information and communications technology operations and user support technicians provide support for the day-to-day running of communications systems, computer systems and networks, and provide technical assistance to users","Tasks performed usually include: operating and controlling peripheral and related computer equipment; monitoring systems for equipment failure or errors in performance; loading peripheral equipment, such as printers, with selected materials for operating runs, or oversee loading of peripheral equipment by peripheral equipment operators; answering user inquiries regarding software or hardware operation to resolve problems; installing and performing minor repairs to hardware, software or peripheral equipment, following design or installation specifications; overseeing the daily performance of systems; setting up equipment for employee use, performing or ensuring proper installation of cables, operating systems or appropriate software; establishing, operating and maintaining network and other data communications systems; installing, monitoring and supporting the reliability and usability of Internet and Intranet websites or web server hardware or software; modifying web pages; and performing web server backup and recovery operations.",Occupations in this minor group are classified into the following unit groups: 3511 Information and Communications Technology Operations Technicians 3512 Information and Communications Technology User Support Technicians 3513 Computer Network and Systems Technicians 3514 Web Technicians
352,Telecommunications and broadcasting technicians,"Telecommunications and broadcasting technicians control technical functioning of equipment to record and edit images and sound and for transmitting radio and television broadcasts of images and sounds, as well as other types of telecommunication signals on land, sea or in aircraft; perform technical tasks connected with telecommunications engineering research and with the design, manufacture, assembly, construction, operation, maintenance and repair of telecommunications systems.","Tasks performed usually include: controlling equipment to record sound, edit and mix image and sound recordings; controlling and maintaining transmitting and broadcast systems and satellite systems for radio and television programmes; controlling and maintaining radio communications systems, satellite services and multiplex systems on land, sea or in aircraft; providing technical assistance connected with research and the development of telecommunications equipment, or testing prototypes; designing and preparing blueprints of circuitry according to the specifications given; providing technical supervision of the manufacture, utilization, maintenance and repair of telecommunications systems.",Occupations in this minor group are classified into the following unit groups: 3521 Broadcasting and Audio-visual Technicians 3522 Telecommunications Engineering Technicians
411,General office clerks,General office clerks perform a range of clerical and administrative tasks according to established procedures.,"Tasks performed usually include: recording, preparing, sorting, classifying and filing information; sorting, opening and sending mail; photocopying and faxing documents; preparing reports and correspondence of a routine nature; recording issue of equipment to staff; responding to telephone or electronic enquiries or forwarding to appropriate person; checking figures, preparing invoices and recording details of financial transactions made; transcribing information onto computers, and proofreading and correcting copy.",Occupations in this minor group are classified into the following unit group: 4110 General office clerks
412,Secretaries (general),"Secretaries (general) use typewriters, personal computers or other word-processing equipment to transcribe correspondence and other documents, check and format documents prepared by other staff, deal with incoming and outgoing mail, screen requests for meetings or appointments, and perform a variety of administrative support tasks.","Tasks performed usually include: checking, formatting and transcribing correspondence, minutes and reports from dictation, electronic documents or written drafts to conform to office standards, using typewriter, personal computer or other word processing equipment; using various computer software packages, including spreadsheets, to provide administrative support; dealing with incoming or outgoing mail; scanning, recording and distributing mail, correspondence and documents; screening requests for meetings or appointments and helping to organize meetings; screening and recording staff-members? leave and other entitlements; organizing and supervising filing systems; dealing with routine correspondence on their own initiative.",Occupations in this minor group are classified into the following unit group: 4120 Secretaries (general)
413,Keyboard operators,"Keyboard operators input and process text and data, and prepare, edit and generate documents for storage, processing, publication and transmission.","Tasks performed usually include: entering data and codes required to process information; retrieving, confirming and updating data in storage and keeping records of data input; taking records of proceedings in rapid shorthand using computerized equipment and shorthand-writing machines; transcribing information recorded in shorthand and on sound recording equipment, and proofreading and correcting copy; reproducing the spoken word, environmental sounds and song lyrics as captions for cinema and television programming.",Occupations in this minor group are classified into the following unit groups: 4131 Typists and word processing operators 4132 Data entry clerks
421,"Tellers, money collectors and related clerks","Tellers, money collectors and related clerks perform money-handling operations in establishments relating to banking, postal services, betting or gambling, pawning and debt-collecting.",Tasks performed usually include: dealing with clients of banks or post offices in connection with money operations or postal services; receiving and paying off bets on results of sporting events; conducting gambling games; lending money against articles deposited or other securities; collecting debts and other payments.,"Occupations in this minor group are classified into the following unit groups: 4211 Bank Tellers and Related Clerks 4212 Bookmakers, Croupiers and Related Gaming Workers 4213 Pawnbrokers and Money-lenders 4214 Debt-collectors and Related Workers"
422,Client information workers,"Client information clerks provide or obtain information in person, by telephone or electronic means such as email in connection with making travel arrangements, describing the products or services of an organization, registering and greeting guests and visitors, making appointments, connecting telephone calls and collecting information from survey respondents or applicants for services.","Tasks performed usually include: preparing itineraries and making travel and hotel reservations for clients; greeting and receiving clients and visitors; registering accommodation guests; providing information concerning the goods, services or policies of an organization; making appointments; operating a telephone switchboard; interviewing survey respondents and applicants for eligibility.",Occupations in this minor group are classified into the following unit groups: 4221 Travel Consultants and Clerks 4222 Contact Centre Information Clerks 4223 Telephone Switchboard Operators 4224 Hotel Receptionists 4225 Inquiry Clerks 4226 Receptionists (general) 4227 Survey and Market Research Interviewers 4229 Client Information Workers Not Elsewhere Classified
431,Numerical clerks,"Numerical clerks obtain, compile and compute accounting, bookkeeping, statistical, financial, and other numerical data, and take charge of cash transactions incidental to business matters.","Tasks performed usually include: helping with accounting and bookkeeping records and computations; calculating unit production costs; calculating wages and in some cases preparing wage packets and paying wages; taking charge of cash transactions incidental to the business; obtaining, compiling and computing statistical or actuarial data; performing clerical tasks relating to the financial transactions of an insurance establishment, bank or similar establishment.","Occupations in this minor group are classified into the following unit groups: 4311 Accounting and Bookkeeping Clerks 4312 Statistical, Finance and Insurance Clerks 4313 Payroll Clerks"
432,Material-recording and transport clerks,"Material recording and transport clerks keep records of goods produced, purchased, stocked and dispatched, and of materials needed at specified production dates, or keep records of operational aspects and coordinate the timing of passenger and freight transport.","Tasks performed usually include: recording goods produced, stocked, ordered and dispatched; recording production materials received, put into stock or issued; computing quantities of the production materials required at specified dates and helping with preparation and checking of production operation schedules; keeping records of operational aspects and coordinating the timing of passenger and freight transport.",Occupations in this minor group are classified into the following unit groups: 4321 Stock Clerks 4322 Production Clerks 4323 Transport Clerks
441,Other clerical support workers,"Other clerical support workers sort and deliver mail, file documents, prepare information for processing, maintain personnel records, check material for consistency with original source material, assist persons who cannot read or write, and perform various other specialized clerical duties.","Tasks performed usually include: recording information regarding acquisition, issue and return of library books; classifying and filing various documents and other records; maintaining personnel records; sorting, recording and delivering mail from post offices, as well as from or within an enterprise; coding; correcting proofs; performing a range of miscellaneous clerical duties; writing on behalf of persons who are unable to read or write.","Occupations in this minor group are classified into the following unit groups: 4411 Library Clerks 4412 Mail Carriers and Sorting Clerks 4413 Coding, Proofreading and Related Clerks 4414 Scribes and Related Workers 4415 Filing and Copying Clerks 4416 Personnel Clerks 4419 Clerical Support Workers Not Elsewhere Classified"
511,"Travel attendants, conductors and guides","Travel attendants, conductors and guides provide various personal services in connection with travelling by aircraft, train, ship, bus or other vehicle, and escorting individuals and groups on travel tours, sightseeing visits and excursions.",Tasks performed usually include: ensuring the comfort and safety of passengers; serving food and refreshments; providing information and answering questions in connection with travel; collecting or issuing tickets on board public transport; accompanying individuals or groups on sightseeing tours or excursions and describing points of interest.,Occupations in this minor group are classified into the following unit groups: 5111 Travel attendants and travel stewards 5112 Transport conductors 5113 Travel guides
512,Cooks,"Cooks plan, organize, prepare and cook meals, according to recipes or under the supervision of chefs, in hotels, restaurants and other eating places, on board ships, on passenger trains and in private households.","Tasks performed usually include: planning meals, preparing and cooking foodstuffs; planning, supervising and coordinating the work of kitchen helpers; checking the quality of food; weighing, measuring and mixing ingredients according to recipes and personal judgement; regulating the temperature of ovens, grills, roasters and other cooking equipment; inspecting and cleaning the kitchen, kitchen equipment, serving areas, etc. to ensure safe and sanitary food handling practices; and operating large?volume cooking equipment such as grills, deep-fat fryers, or griddles.",Occupations in this minor group are classified into the following unit group: 5120 Cooks
513,Waiters and bartenders,"Waiters and bartenders serve food and beverages in commercial dining and drinking places, clubs, institutions and canteens, on board ships and on passenger trains.","Tasks performed usually include: assisting in keeping bar properly stocked; washing used glassware and cleaning bar area; serving alcoholic and non-alcoholic drinks at a bar; setting tables with clean linen, cutlery, crockery and glassware; serving food and beverages; advising on the choice of wines and serving them; taking orders for food and/or drinks and passing order to kitchen; presenting bills and accepting payment.",Occupations in this minor group are classified into the following unit groups: 5131 Waiters 5132 Bartenders
514,"Hairdressers, beauticians and related workers","Hairdressers, beauticians and related workers cut and dress hair, shave and trim beards, give beauty treatment, apply cosmetics and make-up and give other kinds of treatment to individuals in order to improve their appearance.",Tasks performed usually include: discussing customers? requirements; cutting and dressing hair; shaving and trimming beards; giving beauty treatment; applying cosmetics and make up; shaping and polishing finger- and toenails and treating minor ailments of the human foot; attending clients taking baths and administering elementary massage.,Occupations in this minor group are classified into the following unit groups: 5141 Hairdressers 5142 Beauticians and Related Workers
515,Building and housekeeping supervisors,"Building and housekeeping supervisors coordinate, schedule and supervise the work of cleaners and other housekeeping staff in commercial, industrial and residential premises. They take responsibility for housekeeping and caretaking functions in hotels, offices, apartments, houses and private dwellings.","Tasks performed usually include: assigning tasks and inspecting building areas to see that cleaning, housekeeping and maintenance work has been done properly; issuing of supplies and equipment and inventory stocks to ensure that the supplies on hand are adequate; screening and hiring job applicants; training both new and experienced employees; recommending promotions, transfers or dismissals; performing some cleaning, housekeeping and maintenance tasks.","Occupations in this minor group are classified into the following unit groups: 5151 Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments 5152 Domestic Housekeepers 5153 Building Caretakers"
516,Other personal services workers,"Other personal services workers recount past and predict future events in persons? lives, provide companionship and other personal services, groom, train and care for animals, provide embalming and funeral services and train people to drive vehicles.","Tasks performed usually include: casting horoscopes; providing companionship or valet services and other personal services to clients; providing embalming and funeral services; feeding, handling, training and grooming animals; instructing students under actual driving conditions.","Occupations in this minor group are classified into the following unit groups: 5161 Astrologers, Fortune-tellers and Related Workers 5162 Companions and Valets 5163 Undertakers and Embalmers 5164 Pet Groomers and Animal Care Workers 5165 Driving Instructors 5169 Personal Services Workers Not Elsewhere Classified"
521,Street and market salespersons,Street and market salespersons sell goods from stalls on markets or in streets and prepare and sell hot or cold food and beverages ready for immediate consumption in streets and public places.,"Tasks performed usually include: obtaining permission to set up a stand at a particular place in streets, markets or other open spaces or to sell food and drinks on the street; buying or contracting a regular supply of products to be sold; erecting and dismantling stalls and stands; transporting, storing, loading and unloading products for sale; stacking, displaying and selling goods, food and drinks and accepting payment; wrapping and packing goods sold; preparing food and drinks for sale; pushing, pedalling or carrying handcart, trucks, trays or baskets to bring food and drinks to the desired place in the street, or to public places such as stations or cinemas; keeping accounts and maintaining a record of stock levels.",Occupations in this minor group are classified into the following unit groups: 5211 Stall and Market Salespersons 5212 Street Food Salespersons
522,Shop salespersons,"Shop salespersons sell a range of goods and services directly to the public or on behalf of retail and wholesale establishments. They explain functions and qualities of these goods and services, and may operate small shops or supervise the activities of shop sales assistants and cashiers.","Tasks performed usually include: determining customer requirements and advising on product range, price, delivery, warranties and product use and care; demonstrating, explaining and selling goods and services to customers; accepting payment for good and services by a variety of payment methods, and preparing sales invoices; undertaking or assisting with the ongoing management of stock such as product inventories, and participating in stock takes; stacking and displaying goods for sale, and wrapping and packing goods sold; determining product mix, stock and price levels for goods to be sold; supervising and coordinating the activities of shop sales assistants, checkout operators and other workers in supermarkets and department stores.",Occupations in this minor group are classified into the following unit groups: 5221 Shopkeepers 5222 Shop Supervisors 5223 Shop Sales Assistants
523,Cashiers and ticket clerks,"Cashiers and ticket clerks operate cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods, services and admissions in settings such as stores, restaurants and ticket offices.","Tasks performed usually include: receiving and verifying payment by cash, cheque, credit card or automatic debit in stores, ticket offices or similar establishments; giving change and issuing receipts; issuing tickets at ticket offices, and taking corresponding payments; counting and recording money received or paid out and balancing against cash register sales records; receiving incoming cash, checking it against sales slips and other documents, and preparing it for deposit at a bank; operating cash registers to calculate total to be paid from or to clients; scanning, weighing and recording prices of goods; wrapping and placing merchandise in bags.",Occupations in this minor group are classified into the following unit groups: 5230 Cashiers and Ticket Clerks
524,Other sales workers,"Other sales workers display, demonstrate, display and sell goods, food and services, usually to the general public, in contexts other than sales in markets, streets and shops. This group includes sales workers not classified in Minor Groups 521: Street and Market Salespersons, 522: Shop Salespersons and 523: Cashiers and Ticket Clerks.","Tasks performed may include: displaying and demonstrating items for sale; posing for photographs, film and video, advertising, still photography or for artistic creation; answering questions and offering advice on the use of goods and services; taking orders and making arrangements for payment, delivery and collection of goods or for provision of services; selling goods and services and soliciting business by approaching potential customers by going from door to door or using the telephone or other electronic communications media; selling fuel, lubricants and other automotive products at service stations; providing services such as fuelling, cleaning, lubricating and performing minor repairs to motor vehicles.",Occupations in this minor group are classified into the following unit groups: 5241 Fashion and Other Models 5242 Sales Demonstrators 5243 Door-to-door Salespersons 5244 Contact Centre Salespersons 5245 Service Station Attendants 5246 Food Service Counter Attendants 5249 Sales Workers Not Elsewhere Classified
531,Child care workers and teachers' aides,"Child care workers and teachers' aides provide care and supervision for children in schools, residential homes and child care facilities.","Tasks performed usually include: assisting children individually to learn social skills; demonstrating, supervising and participating in activities that enhance the physical, social, emotional and intellectual development of children in schools and pre-schools; assisting in preparation of materials and equipment for children's education and recreational activities before school, after school, during vacation and in day care centres.",Occupations in this minor group are classified into the following unit groups: 5311 Child care workers 5312 Teachers? aides
532,Personal care workers in health services,"Personal care workers in health services provide personal care and assistance with mobility and activities of daily living to patients and elderly, convalescent and disabled people in health care and residential settings.","Tasks performed usually include: assisting patients with mobility, personal care and communication needs; sterilising surgical and other instruments and equipment; observing and reporting concerns to the appropriate medical or social service workers, preparing patients for examination and treatment and participating in planning the care of individuals.",Occupations in this minor group are classified into the following unit groups: 5321 Health Care Assistants 5322 Home-based Personal Care Workers 5329 Personal Care Workers in Health Services Not Elsewhere Classified
